Angle,Intensity
6.00817782,609
6.016533455,583
6.024889089,622
6.033244724,610
6.041600358,612
6.049955993,586
6.058311627,628
6.066667262,608
6.075022896,584
6.083378531,612
6.091734165,606
6.1000898,615
6.108445434,551
6.116801069,579
6.125156703,634
6.133512338,584
6.141867973,586
6.150223607,644
6.158579242,619
6.166934876,554
6.175290511,548
6.183646145,559
6.19200178,543
6.200357414,583
6.208713049,552
6.217068683,605
6.225424318,570
6.233779952,561
6.242135587,545
6.250491221,529
6.258846856,545
6.267202491,548
6.275558125,535
6.28391376,551
6.292269394,550
6.300625029,495
6.308980663,532
6.317336298,503
6.325691932,542
6.334047567,496
6.342403201,493
6.350758836,543
6.35911447,525
6.367470105,503
6.375825739,567
6.384181374,469
6.392537009,525
6.400892643,524
6.409248278,540
6.417603912,490
6.425959547,493
6.434315181,520
6.442670816,517
6.45102645,542
6.459382085,484
6.467737719,551
6.476093354,531
6.484448988,520
6.492804623,538
6.501160257,509
6.509515892,496
6.517871527,510
6.526227161,507
6.534582796,473
6.54293843,483
6.551294065,510
6.559649699,522
6.568005334,480
6.576360968,523
6.584716603,531
6.593072237,491
6.601427872,490
6.609783506,513
6.618139141,482
6.626494775,483
6.63485041,490
6.643206045,501
6.651561679,465
6.659917314,510
6.668272948,487
6.676628583,534
6.684984217,461
6.693339852,480
6.701695486,474
6.710051121,444
6.718406755,509
6.72676239,521
6.735118024,473
6.743473659,474
6.751829293,442
6.760184928,507
6.768540563,467
6.776896197,440
6.785251832,497
6.793607466,425
6.801963101,453
6.810318735,451
6.81867437,437
6.827030004,461
6.835385639,490
6.843741273,473
6.852096908,502
6.860452542,453
6.868808177,466
6.877163811,448
6.885519446,436
6.893875081,459
6.902230715,452
6.91058635,411
6.918941984,435
6.927297619,453
6.935653253,424
6.944008888,438
6.952364522,457
6.960720157,445
6.969075791,424
6.977431426,413
6.98578706,407
6.994142695,445
7.002498329,415
7.010853964,418
7.019209599,409
7.027565233,361
7.035920868,402
7.044276502,425
7.052632137,424
7.060987771,404
7.069343406,377
7.07769904,401
7.086054675,435
7.094410309,421
7.102765944,397
7.111121578,400
7.119477213,437
7.127832847,386
7.136188482,394
7.144544116,381
7.152899751,425
7.161255386,407
7.16961102,433
7.177966655,409
7.186322289,408
7.194677924,382
7.203033558,397
7.211389193,400
7.219744827,410
7.228100462,420
7.236456096,413
7.244811731,395
7.253167365,380
7.261523,389
7.269878634,413
7.278234269,385
7.286589904,424
7.294945538,416
7.303301173,392
7.311656807,402
7.320012442,411
7.328368076,405
7.336723711,407
7.345079345,394
7.35343498,414
7.361790614,404
7.370146249,399
7.378501883,439
7.386857518,387
7.395213152,392
7.403568787,371
7.411924422,405
7.420280056,435
7.428635691,408
7.436991325,435
7.44534696,382
