Angle,Intensity
5.99617782,888
6.004533455,908
6.012889089,902
6.021244724,872
6.029600358,937
6.037955993,862
6.046311627,840
6.054667262,845
6.063022896,866
6.071378531,881
6.079734165,843
6.0880898,889
6.096445434,846
6.104801069,877
6.113156703,856
6.121512338,853
6.129867973,860
6.138223607,864
6.146579242,825
6.154934876,846
6.163290511,878
6.171646145,784
6.18000178,834
6.188357414,829
6.196713049,854
6.205068683,871
6.213424318,771
6.221779952,865
6.230135587,821
6.238491221,809
6.246846856,840
6.255202491,811
6.263558125,782
6.27191376,815
6.280269394,814
6.288625029,774
6.296980663,792
6.305336298,783
6.313691932,730
6.322047567,798
6.330403201,798
6.338758836,827
6.34711447,754
6.355470105,818
6.363825739,754
6.372181374,783
6.380537009,759
6.388892643,793
6.397248278,775
6.405603912,764
6.413959547,782
6.422315181,720
6.430670816,731
6.43902645,706
6.447382085,738
6.455737719,737
6.464093354,710
6.472448988,762
6.480804623,747
6.489160257,751
6.497515892,731
6.505871527,779
6.514227161,688
6.522582796,722
6.53093843,760
6.539294065,689
6.547649699,736
6.556005334,712
6.564360968,766
6.572716603,745
6.581072237,741
6.589427872,700
6.597783506,690
6.606139141,742
6.614494775,753
6.62285041,702
6.631206045,718
6.639561679,695
6.647917314,690
6.656272948,693
6.664628583,712
6.672984217,657
6.681339852,702
6.689695486,668
6.698051121,684
6.706406755,685
6.71476239,669
6.723118024,733
6.731473659,691
6.739829293,711
6.748184928,707
6.756540563,730
6.764896197,700
6.773251832,683
6.781607466,694
6.789963101,655
6.798318735,672
6.80667437,673
6.815030004,688
6.823385639,645
6.831741273,680
6.840096908,633
6.848452542,644
6.856808177,642
6.865163811,667
6.873519446,695
6.88187508,702
6.890230715,625
6.89858635,635
6.906941984,721
6.915297619,634
6.923653253,669
6.932008888,623
6.940364522,667
6.948720157,636
6.957075791,619
6.965431426,626
6.97378706,620
6.982142695,649
6.990498329,688
6.998853964,605
7.007209598,617
7.015565233,655
7.023920868,617
7.032276502,598
7.040632137,610
7.048987771,631
7.057343406,591
7.06569904,602
7.074054675,606
7.082410309,594
7.090765944,621
7.099121578,640
7.107477213,604
7.115832847,604
7.124188482,578
7.132544116,625
7.140899751,599
7.149255386,582
7.15761102,642
7.165966655,611
7.174322289,583
7.182677924,627
7.191033558,610
7.199389193,613
7.207744827,590
7.216100462,630
7.224456096,617
7.232811731,615
7.241167365,629
7.249523,577
7.257878634,559
7.266234269,606
7.274589904,631
7.282945538,552
7.291301173,570
7.299656807,630
7.308012442,593
7.316368076,609
7.324723711,576
7.333079345,598
7.34143498,614
7.349790614,598
7.358146249,636
7.366501883,574
7.374857518,542
7.383213152,615
7.391568787,605
7.399924422,647
7.408280056,526
7.416635691,604
7.424991325,584
7.43334696,576
7.441702594,587
7.450058229,599
7.458413863,569
7.466769498,591
7.475125132,568
7.483480767,573
7.491836401,570
7.500192036,583
7.50854767,580
7.516903305,557
7.52525894,532
7.533614574,610
7.541970209,556
7.550325843,550
7.558681478,569
7.567037112,559
7.575392747,595
7.583748381,610
7.592104016,578
7.60045965,585
7.608815285,563
7.617170919,528
7.625526554,568
7.633882188,567
7.642237823,561
7.650593458,538
7.658949092,589
7.667304727,582
7.675660361,583
7.684015996,534
7.69237163,595
7.700727265,564
7.709082899,548
7.717438534,578
7.725794168,540
7.734149803,561
7.742505437,548
7.750861072,534
7.759216706,583
7.767572341,550
7.775927976,535
7.78428361,601
7.792639245,562
7.800994879,616
7.809350514,568
7.817706148,540
7.826061783,544
7.834417417,539
7.842773052,573
7.851128686,538
7.859484321,515
7.867839955,555
7.87619559,544
7.884551224,552
7.892906859,570
7.901262494,609
7.909618128,573
7.917973763,572
7.926329397,583
7.934685032,569
7.943040666,577
7.951396301,544
7.959751935,520
7.96810757,528
7.976463204,574
7.984818839,572
7.993174473,567
8.001530108,574
8.009885742,508
8.018241377,529
8.026597012,549
8.034952646,550
8.043308281,567
8.051663915,487
8.06001955,561
8.068375184,557
8.076730819,557
8.085086453,547
8.093442088,548
8.101797722,587
8.110153357,505
8.118508991,573
8.126864626,556
8.13522026,562
8.143575895,594
8.15193153,568
8.160287164,538
8.168642799,467
8.176998433,540
8.185354068,518
8.193709702,555
8.202065337,570
8.210420971,514
8.218776606,557
8.22713224,549
8.235487875,574
8.243843509,532
8.252199144,541
8.260554778,540
8.268910413,536
8.277266048,549
8.285621682,564
8.293977317,512
8.302332951,549
8.310688586,527
8.31904422,573
8.327399855,537
8.335755489,531
8.344111124,507
8.352466758,538
8.360822393,527
8.369178027,512
8.377533662,542
8.385889296,567
8.394244931,544
8.402600565,578
8.4109562,541
8.419311835,537
8.427667469,563
8.436023104,570
8.444378738,518
8.452734373,523
8.461090007,538
8.469445642,515
8.477801276,521
8.486156911,534
8.494512545,535
8.50286818,548
8.511223814,571
8.519579449,521
8.527935083,570
8.536290718,521
8.544646353,546
8.553001987,532
8.561357622,528
8.569713256,513
8.578068891,496
8.586424525,534
8.59478016,558
8.603135794,526
8.611491429,548
8.619847063,555
8.628202698,540
8.636558332,520
8.644913967,534
8.653269601,530
8.661625236,536
8.669980871,552
8.678336505,513
8.68669214,524
8.695047774,535
8.703403409,531
8.711759043,544
8.720114678,548
8.728470312,556
8.736825947,557
8.745181581,473
8.753537216,505
8.76189285,503
8.770248485,567
8.778604119,553
8.786959754,472
8.795315389,530
8.803671023,531
8.812026658,549
8.820382292,560
8.828737927,574
8.837093561,517
8.845449196,549
8.85380483,527
8.862160465,541
8.870516099,564
8.878871734,549
8.887227368,536
8.895583003,568
8.903938637,577
8.912294272,561
8.920649907,549
8.929005541,552
8.937361176,547
8.94571681,519
8.954072445,574
8.962428079,609
8.970783714,579
8.979139348,573
8.987494983,544
8.995850617,604
9.004206252,605
9.012561886,593
9.020917521,580
9.029273155,584
9.03762879,622
9.045984425,616
9.054340059,549
9.062695694,573
9.071051328,609
9.079406963,659
9.087762597,673
9.096118232,665
9.104473866,627
9.112829501,677
9.121185135,629
9.12954077,653
9.137896404,658
9.146252039,632
9.154607673,611
9.162963308,638
9.171318943,598
9.179674577,614
9.188030212,552
9.196385846,615
9.204741481,594
9.213097115,546
9.22145275,563
9.229808384,557
9.238164019,524
9.246519653,580
9.254875288,592
9.263230922,571
9.271586557,535
9.279942191,548
9.288297826,523
9.296653461,537
9.305009095,566
9.31336473,553
9.321720364,548
9.330075999,542
9.338431633,521
9.346787268,590
9.355142902,564
9.363498537,563
9.371854171,541
9.380209806,538
9.38856544,564
9.396921075,546
9.405276709,500
9.413632344,547
9.421987979,495
9.430343613,566
9.438699248,564
9.447054882,508
9.455410517,552
9.463766151,503
9.472121786,521
9.48047742,518
9.488833055,534
9.497188689,521
9.505544324,503
9.513899958,527
9.522255593,521
9.530611227,517
9.538966862,558
9.547322497,516
9.555678131,502
9.564033766,559
9.5723894,508
9.580745035,509
9.589100669,518
9.597456304,520
9.605811938,541
9.614167573,524
9.622523207,524
9.630878842,512
9.639234476,515
9.647590111,528
9.655945745,535
9.66430138,518
9.672657015,512
9.681012649,473
9.689368284,496
9.697723918,506
9.706079553,473
9.714435187,521
9.722790822,524
9.731146456,540
9.739502091,521
9.747857725,505
9.75621336,521
9.764568994,546
9.772924629,550
9.781280263,516
9.789635898,530
9.797991533,526
9.806347167,491
9.814702802,536
9.823058436,541
9.831414071,503
9.839769705,567
9.84812534,517
9.856480974,551
9.864836609,493
9.873192243,534
9.881547878,534
9.889903512,545
9.898259147,546
9.906614781,538
9.914970416,517
9.92332605,517
9.931681685,532
9.94003732,525
9.948392954,476
9.956748589,506
9.965104223,532
9.973459858,481
9.981815492,540
9.990171127,516
9.998526761,463
10.0068824,516
10.01523803,460
10.02359367,497
10.0319493,518
10.04030493,518
10.04866057,477
10.0570162,480
10.06537184,462
10.07372747,483
10.08208311,488
10.09043874,500
10.09879438,516
10.10715001,477
10.11550565,475
10.12386128,491
10.13221691,478
10.14057255,492
10.14892818,452
10.15728382,475
10.16563945,466
10.17399509,480
10.18235072,468
10.19070636,467
10.19906199,480
10.20741763,529
10.21577326,467
10.22412889,489
10.23248453,453
10.24084016,498
10.2491958,448
10.25755143,445
10.26590707,508
10.2742627,453
10.28261834,470
10.29097397,474
10.2993296,445
10.30768524,482
10.31604087,502
10.32439651,484
10.33275214,474
10.34110778,474
10.34946341,483
10.35781905,493
10.36617468,476
10.37453032,451
10.38288595,429
10.39124158,461
10.39959722,467
10.40795285,463
10.41630849,471
10.42466412,463
10.43301976,457
10.44137539,460
10.44973103,496
10.45808666,484
10.4664423,488
10.47479793,491
10.48315356,500
10.4915092,523
10.49986483,446
10.50822047,503
10.5165761,450
10.52493174,463
10.53328737,448
10.54164301,429
10.54999864,470
10.55835428,450
10.56670991,463
10.57506554,487
10.58342118,468
10.59177681,508
10.60013245,472
10.60848808,467
10.61684372,470
10.62519935,435
10.63355499,440
10.64191062,484
10.65026626,464
10.65862189,481
10.66697752,470
10.67533316,457
10.68368879,452
10.69204443,465
10.70040006,468
10.7087557,443
10.71711133,463
10.72546697,514
10.7338226,472
10.74217824,440
10.75053387,439
10.7588895,462
10.76724514,464
10.77560077,510
10.78395641,515
10.79231204,459
10.80066768,464
10.80902331,464
10.81737895,441
10.82573458,465
10.83409022,449
10.84244585,433
10.85080148,443
10.85915712,428
10.86751275,474
10.87586839,449
10.88422402,438
10.89257966,450
10.90093529,442
10.90929093,450
10.91764656,451
10.92600219,464
10.93435783,473
10.94271346,442
10.9510691,476
10.95942473,436
10.96778037,413
10.976136,445
10.98449164,461
10.99284727,425
11.00120291,459
11.00955854,434
11.01791417,433
11.02626981,473
11.03462544,450
11.04298108,450
11.05133671,466
11.05969235,470
11.06804798,442
11.07640362,408
11.08475925,444
11.09311489,433
11.10147052,411
11.10982615,459
11.11818179,440
11.12653742,399
11.13489306,462
11.14324869,431
11.15160433,446
11.15995996,392
11.1683156,432
11.17667123,445
11.18502687,401
11.1933825,417
11.20173813,433
11.21009377,472
11.2184494,440
11.22680504,450
11.23516067,392
11.24351631,452
11.25187194,420
11.26022758,406
11.26858321,425
11.27693885,422
11.28529448,382
11.29365011,404
11.30200575,401
11.31036138,406
11.31871702,450
11.32707265,433
11.33542829,430
11.34378392,431
11.35213956,418
11.36049519,409
11.36885083,420
11.37720646,418
