Angle,Intensity
5.99617782,720
6.004533455,762
6.012889089,773
6.021244724,789
6.029600358,824
6.037955993,836
6.046311627,759
6.054667262,766
6.063022896,779
6.071378531,806
6.079734165,805
6.0880898,796
6.096445434,729
6.104801069,760
6.113156703,740
6.121512338,752
6.129867973,748
6.138223607,747
6.146579242,731
6.154934876,701
6.163290511,794
6.171646145,755
6.18000178,728
6.188357414,760
6.196713049,737
6.205068683,700
6.213424318,760
6.221779952,784
6.230135587,757
6.238491221,734
6.246846856,774
6.255202491,800
6.263558125,749
6.27191376,720
6.280269394,681
6.288625029,734
6.296980663,706
6.305336298,729
6.313691932,732
6.322047567,728
6.330403201,657
6.338758836,679
6.34711447,665
6.355470105,659
6.363825739,715
6.372181374,696
6.380537009,658
6.388892643,633
6.397248278,661
6.405603912,678
6.413959547,653
6.422315181,668
6.430670816,634
6.43902645,662
6.447382085,686
6.455737719,757
6.464093354,632
6.472448988,643
6.480804623,672
6.489160257,637
6.497515892,644
6.505871527,710
6.514227161,688
6.522582796,683
6.53093843,691
6.539294065,654
6.547649699,677
6.556005334,631
6.564360968,662
6.572716603,627
6.581072237,591
6.589427872,641
6.597783506,613
6.606139141,670
6.614494775,631
6.62285041,638
6.631206045,626
6.639561679,696
6.647917314,611
6.656272948,601
6.664628583,582
6.672984217,523
6.681339852,600
6.689695486,632
6.698051121,652
6.706406755,570
6.71476239,599
6.723118024,602
6.731473659,609
6.739829293,621
6.748184928,614
6.756540563,631
6.764896197,610
6.773251832,625
6.781607466,604
6.789963101,604
6.798318735,558
6.80667437,606
6.815030004,631
6.823385639,553
6.831741273,594
6.840096908,551
6.848452542,584
6.856808177,582
6.865163811,584
6.873519446,580
6.88187508,585
6.890230715,566
6.89858635,590
6.906941984,598
6.915297619,552
6.923653253,578
6.932008888,560
6.940364522,537
6.948720157,630
6.957075791,597
6.965431426,500
6.97378706,532
6.982142695,548
6.990498329,517
6.998853964,552
7.007209598,592
7.015565233,574
7.023920868,561
7.032276502,534
7.040632137,541
7.048987771,557
7.057343406,556
7.06569904,499
7.074054675,598
7.082410309,567
7.090765944,551
7.099121578,509
7.107477213,503
7.115832847,505
7.124188482,515
7.132544116,498
7.140899751,558
7.149255386,568
7.15761102,506
7.165966655,509
7.174322289,491
7.182677924,488
7.191033558,535
7.199389193,528
7.207744827,515
7.216100462,512
7.224456096,480
7.232811731,506
7.241167365,519
7.249523,495
7.257878634,484
7.266234269,495
7.274589904,514
7.282945538,527
7.291301173,520
7.299656807,509
7.308012442,478
7.316368076,518
7.324723711,492
7.333079345,488
7.34143498,509
7.349790614,489
7.358146249,493
7.366501883,489
7.374857518,507
7.383213152,473
7.391568787,467
7.399924422,521
7.408280056,499
7.416635691,518
7.424991325,495
7.43334696,544
7.441702594,464
7.450058229,500
7.458413863,440
7.466769498,531
7.475125132,486
7.483480767,517
7.491836401,549
7.500192036,512
7.50854767,489
7.516903305,491
7.52525894,483
7.533614574,472
7.541970209,452
7.550325843,467
7.558681478,540
7.567037112,474
7.575392747,551
7.583748381,466
7.592104016,505
7.60045965,516
7.608815285,464
7.617170919,470
7.625526554,470
7.633882188,495
7.642237823,494
7.650593458,483
7.658949092,466
7.667304727,486
7.675660361,529
7.684015996,442
7.69237163,500
7.700727265,504
7.709082899,516
7.717438534,494
7.725794168,463
7.734149803,472
7.742505437,461
7.750861072,504
7.759216706,446
7.767572341,495
7.775927976,435
7.78428361,444
7.792639245,524
7.800994879,523
7.809350514,492
7.817706148,459
7.826061783,465
7.834417417,470
7.842773052,499
7.851128686,476
7.859484321,446
7.867839955,474
7.87619559,456
7.884551224,453
7.892906859,489
7.901262494,455
7.909618128,465
7.917973763,488
7.926329397,505
7.934685032,436
7.943040666,483
7.951396301,480
7.959751935,482
7.96810757,473
7.976463204,480
7.984818839,495
7.993174473,488
8.001530108,411
8.009885742,456
8.018241377,451
8.026597012,455
8.034952646,464
8.043308281,460
8.051663915,452
8.06001955,448
8.068375184,514
8.076730819,441
8.085086453,498
8.093442088,485
8.101797722,435
8.110153357,460
8.118508991,475
8.126864626,457
8.13522026,471
8.143575895,471
8.15193153,451
8.160287164,448
8.168642799,440
8.176998433,489
8.185354068,451
8.193709702,463
8.202065337,475
8.210420971,466
8.218776606,450
8.22713224,443
8.235487875,496
8.243843509,476
8.252199144,485
8.260554778,434
8.268910413,457
8.277266048,475
8.285621682,453
8.293977317,457
8.302332951,473
8.310688586,463
8.31904422,485
8.327399855,457
8.335755489,463
8.344111124,483
8.352466758,429
8.360822393,459
8.369178027,487
8.377533662,484
8.385889296,431
8.394244931,446
8.402600565,494
8.4109562,459
8.419311835,442
8.427667469,461
8.436023104,472
8.444378738,470
8.452734373,475
8.461090007,466
8.469445642,474
8.477801276,487
