Angle,Intensity
5.99617782,797
6.004533455,838
6.012889089,804
6.021244724,837
6.029600358,805
6.037955993,789
6.046311627,802
6.054667262,790
6.063022896,807
6.071378531,808
6.079734165,740
6.0880898,784
6.096445434,793
6.104801069,790
6.113156703,804
6.121512338,761
6.129867973,755
6.138223607,795
6.146579242,717
6.154934876,783
6.163290511,789
6.171646145,798
6.18000178,790
6.188357414,759
6.196713049,732
6.205068683,734
6.213424318,734
6.221779952,755
6.230135587,772
6.238491221,673
6.246846856,753
6.255202491,727
6.263558125,743
6.27191376,711
6.280269394,782
6.288625029,638
6.296980663,773
6.305336298,777
6.313691932,786
6.322047567,688
6.330403201,730
6.338758836,707
6.34711447,707
6.355470105,687
6.363825739,739
6.372181374,721
6.380537009,747
6.388892643,698
6.397248278,791
6.405603912,693
6.413959547,661
6.422315181,681
6.430670816,685
6.43902645,679
6.447382085,716
6.455737719,657
6.464093354,680
6.472448988,720
6.480804623,667
6.489160257,696
6.497515892,712
6.505871527,679
6.514227161,681
6.522582796,686
6.53093843,686
6.539294065,699
6.547649699,640
6.556005334,719
6.564360968,667
6.572716603,674
6.581072237,641
6.589427872,642
6.597783506,647
6.606139141,675
6.614494775,615
6.62285041,699
6.631206045,644
6.639561679,677
6.647917314,617
6.656272948,641
6.664628583,638
6.672984217,610
6.681339852,640
6.689695486,656
6.698051121,655
6.706406755,630
6.71476239,654
6.723118024,644
6.731473659,613
6.739829293,593
6.748184928,637
6.756540563,651
6.764896197,654
6.773251832,621
6.781607466,641
6.789963101,629
6.798318735,585
6.80667437,566
6.815030004,600
6.823385639,598
6.831741273,616
6.840096908,563
6.848452542,584
6.856808177,578
6.865163811,544
6.873519446,615
6.88187508,563
6.890230715,621
6.89858635,582
6.906941984,593
6.915297619,578
6.923653253,556
6.932008888,592
6.940364522,621
6.948720157,629
6.957075791,631
6.965431426,569
6.97378706,621
6.982142695,603
6.990498329,577
6.998853964,530
7.007209598,581
7.015565233,530
7.023920868,559
7.032276502,520
7.040632137,610
7.048987771,595
7.057343406,548
7.06569904,576
7.074054675,566
7.082410309,572
7.090765944,557
7.099121578,590
7.107477213,528
7.115832847,567
7.124188482,540
7.132544116,547
7.140899751,523
7.149255386,499
7.15761102,555
7.165966655,553
7.174322289,548
7.182677924,526
7.191033558,532
7.199389193,570
7.207744827,553
7.216100462,536
7.224456096,529
7.232811731,585
7.241167365,544
7.249523,502
7.257878634,515
7.266234269,547
7.274589904,496
7.282945538,531
7.291301173,527
7.299656807,539
7.308012442,534
7.316368076,564
7.324723711,463
7.333079345,549
7.34143498,529
7.349790614,517
7.358146249,563
7.366501883,539
7.374857518,497
7.383213152,537
7.391568787,523
7.399924422,516
7.408280056,530
7.416635691,540
7.424991325,497
7.43334696,504
7.441702594,529
7.450058229,494
7.458413863,489
7.466769498,559
7.475125132,506
7.483480767,560
7.491836401,537
7.500192036,493
7.50854767,527
7.516903305,502
7.52525894,539
7.533614574,492
7.541970209,505
7.550325843,497
7.558681478,558
7.567037112,482
7.575392747,497
7.583748381,532
7.592104016,451
7.60045965,525
7.608815285,523
7.617170919,514
7.625526554,486
7.633882188,518
7.642237823,480
7.650593458,524
7.658949092,515
7.667304727,493
7.675660361,468
7.684015996,530
7.69237163,525
7.700727265,513
7.709082899,497
7.717438534,515
7.725794168,507
7.734149803,442
7.742505437,474
7.750861072,502
7.759216706,487
7.767572341,484
7.775927976,515
7.78428361,466
7.792639245,489
7.800994879,509
7.809350514,506
7.817706148,516
7.826061783,493
7.834417417,487
7.842773052,475
7.851128686,507
7.859484321,461
7.867839955,461
7.87619559,510
7.884551224,513
7.892906859,489
7.901262494,507
7.909618128,506
7.917973763,477
7.926329397,485
7.934685032,497
7.943040666,473
7.951396301,505
7.959751935,503
7.96810757,473
7.976463204,496
7.984818839,530
7.993174473,462
8.001530108,482
8.009885742,491
8.018241377,467
8.026597012,455
8.034952646,486
8.043308281,492
8.051663915,460
8.06001955,556
8.068375184,504
8.076730819,491
8.085086453,480
8.093442088,494
8.101797722,475
8.110153357,486
8.118508991,466
8.126864626,536
8.13522026,477
8.143575895,461
8.15193153,433
8.160287164,486
8.168642799,496
8.176998433,513
8.185354068,471
8.193709702,506
8.202065337,519
8.210420971,468
8.218776606,461
8.22713224,449
8.235487875,480
8.243843509,475
8.252199144,431
8.260554778,508
8.268910413,453
8.277266048,485
8.285621682,473
8.293977317,491
8.302332951,497
8.310688586,430
8.31904422,483
8.327399855,456
8.335755489,484
8.344111124,476
8.352466758,460
8.360822393,457
8.369178027,515
8.377533662,481
8.385889296,441
8.394244931,461
8.402600565,503
8.4109562,472
8.419311835,482
8.427667469,455
8.436023104,504
8.444378738,454
8.452734373,474
8.461090007,471
8.469445642,460
8.477801276,438
8.486156911,464
8.494512545,477
8.50286818,432
8.511223814,487
8.519579449,449
8.527935083,473
8.536290718,463
8.544646353,482
8.553001987,474
8.561357622,472
8.569713256,503
8.578068891,428
8.586424525,451
8.59478016,443
8.603135794,508
8.611491429,441
8.619847063,452
8.628202698,491
8.636558332,459
8.644913967,488
8.653269601,431
8.661625236,456
8.669980871,454
8.678336505,464
8.68669214,428
8.695047774,478
8.703403409,453
8.711759043,424
8.720114678,486
8.728470312,445
8.736825947,438
8.745181581,448
8.753537216,454
8.76189285,470
8.770248485,440
8.778604119,485
8.786959754,481
8.795315389,428
8.803671023,475
8.812026658,432
8.820382292,442
8.828737927,439
8.837093561,438
8.845449196,462
8.85380483,456
8.862160465,499
8.870516099,467
8.878871734,497
8.887227368,472
8.895583003,492
8.903938637,444
8.912294272,421
8.920649907,459
8.929005541,472
8.937361176,463
8.94571681,472
8.954072445,439
8.962428079,498
8.970783714,464
8.979139348,494
8.987494983,465
8.995850617,427
9.004206252,454
9.012561886,445
9.020917521,443
9.029273155,465
9.03762879,459
9.045984425,503
9.054340059,487
9.062695694,495
9.071051328,456
9.079406963,464
9.087762597,444
9.096118232,433
9.104473866,436
9.112829501,507
9.121185135,471
9.12954077,445
9.137896404,498
9.146252039,445
9.154607673,484
9.162963308,462
9.171318943,462
9.179674577,451
9.188030212,445
9.196385846,473
9.204741481,463
9.213097115,467
9.22145275,462
9.229808384,429
9.238164019,450
9.246519653,406
9.254875288,452
9.263230922,433
9.271586557,428
9.279942191,444
9.288297826,459
9.296653461,497
9.305009095,436
9.31336473,424
9.321720364,386
9.330075999,411
9.338431633,431
9.346787268,473
9.355142902,448
9.363498537,446
9.371854171,411
9.380209806,419
9.38856544,428
9.396921075,422
9.405276709,422
9.413632344,449
9.421987979,442
9.430343613,402
9.438699248,418
9.447054882,378
9.455410517,416
9.463766151,457
9.472121786,414
9.48047742,438
9.488833055,401
9.497188689,420
9.505544324,402
9.513899958,419
9.522255593,436
9.530611227,429
9.538966862,413
9.547322497,424
9.555678131,444
9.564033766,432
9.5723894,416
9.580745035,407
9.589100669,413
9.597456304,424
9.605811938,431
9.614167573,398
9.622523207,420
9.630878842,403
9.639234476,421
9.647590111,428
9.655945745,408
9.66430138,408
9.672657015,387
9.681012649,436
9.689368284,416
9.697723918,401
9.706079553,418
9.714435187,397
9.722790822,384
9.731146456,440
9.739502091,423
9.747857725,421
9.75621336,443
9.764568994,435
9.772924629,396
9.781280263,397
9.789635898,429
9.797991533,422
9.806347167,391
9.814702802,403
9.823058436,435
9.831414071,422
9.839769705,404
9.84812534,462
9.856480974,391
9.864836609,390
9.873192243,379
9.881547878,376
9.889903512,389
9.898259147,376
9.906614781,398
9.914970416,407
9.92332605,379
9.931681685,424
9.94003732,410
9.948392954,430
9.956748589,397
9.965104223,404
9.973459858,406
9.981815492,434
9.990171127,403
9.998526761,401
10.0068824,392
10.01523803,374
10.02359367,412
10.0319493,400
10.04030493,403
10.04866057,414
10.0570162,423
10.06537184,392
10.07372747,392
10.08208311,343
10.09043874,361
10.09879438,424
10.10715001,388
10.11550565,389
10.12386128,421
10.13221691,409
10.14057255,366
10.14892818,378
10.15728382,368
10.16563945,333
10.17399509,376
10.18235072,347
10.19070636,382
10.19906199,404
10.20741763,381
10.21577326,398
10.22412889,381
10.23248453,350
10.24084016,396
10.2491958,369
10.25755143,416
10.26590707,410
10.2742627,384
10.28261834,380
10.29097397,390
10.2993296,352
10.30768524,409
10.31604087,363
10.32439651,386
10.33275214,366
10.34110778,397
10.34946341,339
10.35781905,370
10.36617468,358
10.37453032,343
10.38288595,349
10.39124158,372
10.39959722,403
10.40795285,379
10.41630849,365
10.42466412,398
10.43301976,400
10.44137539,380
10.44973103,392
10.45808666,364
10.4664423,384
10.47479793,382
10.48315356,396
10.4915092,372
10.49986483,388
10.50822047,372
10.5165761,364
10.52493174,358
10.53328737,396
10.54164301,388
10.54999864,397
10.55835428,331
10.56670991,380
10.57506554,345
10.58342118,393
10.59177681,370
10.60013245,375
10.60848808,391
10.61684372,378
10.62519935,356
10.63355499,423
10.64191062,332
10.65026626,359
10.65862189,345
10.66697752,398
10.67533316,379
10.68368879,396
10.69204443,356
10.70040006,374
10.7087557,382
10.71711133,367
10.72546697,392
10.7338226,326
10.74217824,365
10.75053387,350
10.7588895,367
10.76724514,407
10.77560077,371
10.78395641,364
10.79231204,390
10.80066768,370
10.80902331,371
10.81737895,357
10.82573458,372
10.83409022,332
10.84244585,336
10.85080148,366
10.85915712,388
10.86751275,376
10.87586839,356
10.88422402,398
10.89257966,360
10.90093529,381
10.90929093,338
10.91764656,387
10.92600219,365
10.93435783,374
10.94271346,354
10.9510691,346
10.95942473,385
10.96778037,377
10.976136,344
10.98449164,364
10.99284727,380
11.00120291,348
11.00955854,367
11.01791417,367
11.02626981,325
11.03462544,366
11.04298108,365
11.05133671,368
11.05969235,376
11.06804798,336
11.07640362,396
11.08475925,389
11.09311489,389
11.10147052,359
11.10982615,365
11.11818179,349
11.12653742,348
11.13489306,353
11.14324869,317
11.15160433,395
11.15995996,376
11.1683156,329
11.17667123,372
11.18502687,356
11.1933825,378
11.20173813,363
11.21009377,368
11.2184494,349
11.22680504,387
11.23516067,344
11.24351631,340
11.25187194,366
11.26022758,353
11.26858321,353
11.27693885,352
11.28529448,329
11.29365011,354
11.30200575,371
11.31036138,322
11.31871702,334
11.32707265,367
11.33542829,334
11.34378392,350
11.35213956,347
11.36049519,347
11.36885083,353
11.37720646,359
11.38556209,370
11.39391773,348
11.40227336,328
11.410629,340
11.41898463,363
11.42734027,363
11.4356959,326
11.44405154,326
11.45240717,353
11.46076281,328
11.46911844,363
11.47747407,322
11.48582971,326
11.49418534,343
11.50254098,346
11.51089661,381
11.51925225,335
11.52760788,338
11.53596352,375
11.54431915,359
11.55267478,349
11.56103042,342
11.56938605,331
11.57774169,295
11.58609732,338
11.59445296,381
11.60280859,335
11.61116423,322
11.61951986,388
11.6278755,374
11.63623113,369
11.64458676,345
11.6529424,342
11.66129803,335
11.66965367,360
11.6780093,328
11.68636494,340
11.69472057,344
11.70307621,336
11.71143184,342
11.71978748,345
11.72814311,344
11.73649874,372
11.74485438,356
11.75321001,318
11.76156565,337
11.76992128,343
11.77827692,340
11.78663255,333
11.79498819,315
11.80334382,355
11.81169946,323
11.82005509,342
11.82841072,358
11.83676636,308
11.84512199,328
11.85347763,349
11.86183326,324
11.8701889,339
11.87854453,327
11.88690017,314
11.8952558,322
11.90361144,317
11.91196707,311
11.9203227,312
11.92867834,323
11.93703397,310
11.94538961,331
11.95374524,308
11.96210088,344
11.97045651,332
11.97881215,346
11.98716778,322
11.99552342,353
12.00387905,293
12.01223468,336
12.02059032,321
12.02894595,329
12.03730159,322
12.04565722,350
12.05401286,291
12.06236849,302
12.07072413,339
12.07907976,331
12.0874354,335
12.09579103,333
12.10414666,358
12.1125023,357
12.12085793,370
12.12921357,356
12.1375692,346
12.14592484,340
12.15428047,326
12.16263611,367
12.17099174,390
12.17934737,315
12.18770301,343
12.19605864,368
12.20441428,343
12.21276991,326
12.22112555,346
12.22948118,296
12.23783682,334
12.24619245,334
12.25454809,299
12.26290372,356
12.27125935,322
12.27961499,299
12.28797062,274
12.29632626,321
12.30468189,300
12.31303753,307
12.32139316,328
12.3297488,361
12.33810443,310
12.34646007,340
12.3548157,318
12.36317133,258
12.37152697,323
12.3798826,352
12.38823824,361
12.39659387,325
12.40494951,314
12.41330514,308
12.42166078,314
12.43001641,294
12.43837205,316
12.44672768,303
12.45508331,318
12.46343895,334
12.47179458,328
12.48015022,310
12.48850585,344
12.49686149,305
12.50521712,302
12.51357276,321
12.52192839,308
12.53028403,307
12.53863966,332
12.54699529,332
12.55535093,324
12.56370656,310
12.5720622,295
12.58041783,323
12.58877347,313
12.5971291,302
12.60548474,320
12.61384037,295
